batter,runs,fours,sixes,matches,innings,runs_per_match
Shreyas Iyer,21496,1681,639,459,19389,46.83
Shikhar Dhawan,15281,1175,498,380,13249,40.21
Rohit Sharma,14534,1121,438,321,13062,45.28
David Warner,12102,888,373,306,10870,39.55
KL Rahul,11582,948,326,263,10466,44.04
AB de Villiers,11406,897,340,256,10224,44.55
Suryakumar Yadav,11370,885,355,245,10133,46.41
Virat Kohli,11219,873,343,256,10141,43.82
Rishabh Pant,11057,880,334,243,9941,45.5
Gautam Gambhir,10455,839,309,242,9445,43.2
Faf du Plessis,10331,784,332,313,8458,33.01
MS Dhoni,10284,785,298,217,9334,47.39
Yashasvi Jaiswal,10148,772,332,211,8959,48.09
Ruturaj Gaikwad,8960,695,266,192,7939,46.67
Kane Williamson,8814,667,264,197,8055,44.74
Sanju Samson,8798,679,261,211,8033,41.7
Prithvi Shaw,6879,472,219,204,5825,33.72
Nitish Rana,6798,509,202,205,5750,33.16
Mayank Agarwal,6767,510,210,194,5680,34.88
Ishan Kishan,6558,469,209,209,5610,31.38
