batter,innings,avg_runs,stddev_runs,30_plus,50_plus,100_plus,consistency_score
Brendon McCullum,7,70.85714285714286,3.236694374850748,7,7,0,95.63
Yuvraj Singh,38,69.86842105263158,13.127588141487292,38,36,0,84.18
Mahela Jayawardene,7,65.85714285714286,8.591246929842248,7,7,0,88.46
Steve Smith,25,63.8,22.096379793984354,23,20,1,74.28
Robin Uthappa,49,56.08163265306123,24.81165446476537,39,36,0,69.33
Adam Gilchrist,85,51.8,30.0704727820055,60,55,3,63.27
Herschelle Gibbs,71,51.23943661971831,22.1414055389184,59,39,0,69.83
Aaron Finch,23,50.65217391304348,22.74684532703416,19,13,0,69.01
Yashasvi Jaiswal,211,48.09478672985782,27.5437404750891,151,109,5,63.59
MS Dhoni,217,47.39170506912443,27.98376720836337,152,114,3,62.87
Shreyas Iyer,459,46.8322440087146,28.417892250750462,315,236,11,62.24
Ruturaj Gaikwad,192,46.66666666666666,28.098430828228217,131,97,2,62.42
Suryakumar Yadav,245,46.40816326530612,26.717341307297257,169,130,3,63.46
Rishabh Pant,243,45.50205761316872,28.45663287225702,164,115,3,61.52
Rohit Sharma,321,45.27725856697819,29.10918690827793,205,156,5,60.87
Kane Williamson,197,44.74111675126903,26.89622886796461,126,93,2,62.46
AB de Villiers,256,44.5546875,28.08902055929313,170,125,2,61.33
KL Rahul,263,44.038022813688215,30.25260191774205,164,125,4,59.28
Virat Kohli,256,43.82421875,27.730855600367462,168,114,3,61.25
Gautam Gambhir,242,43.20247933884298,27.171277740959017,160,114,1,61.39
