bowler,runs_conceded,wickets,balls,matches,overs_recorded,economy
Piyush Chawla,10517,129,8718,630,1453.0,7.24
Sandeep Sharma,9114,118,7543,564,1257.17,7.25
Trent Boult,6727,101,5612,431,935.33,7.19
Avesh Khan,7303,94,6003,469,1000.5,7.3
Mitchell Starc,7734,94,5798,455,966.33,8.0
Kuldeep Yadav,6898,91,5865,459,977.5,7.06
Pat Cummins,6513,91,5394,402,899.0,7.24
Rahul Chahar,6711,88,5819,439,969.83,6.92
Kagiso Rabada,6111,80,5768,444,961.33,6.36
Ravichandran Ashwin,5614,78,4813,371,802.17,7.0
Harbhajan Singh,5719,77,5354,411,892.33,6.41
Axar Patel,6865,75,5762,444,960.33,7.15
Khaleel Ahmed,5759,74,5110,405,851.67,6.76
Yuzvendra Chahal,5853,72,5720,441,953.33,6.14
Wanindu Hasaranga,4254,68,3180,256,530.0,8.03
Dhawal Kulkarni,4604,65,3653,240,608.83,7.56
Ishant Sharma,4016,65,3005,243,500.83,8.02
Pragyan Ojha,4332,61,3563,85,593.83,7.29
Prasidh Krishna,3566,56,2607,211,434.5,8.21
Zaheer Khan,4171,54,3094,256,515.67,8.09
