season,phase,runs,wickets,deliveries,runs_per_delivery
2008,Death,5489,68,3346,1.64
2008,Middle,6552,66,6382,1.027
2008,Powerplay,4381,72,4274,1.025
2009,Death,5429,53,3367,1.612
2009,Middle,6645,71,6376,1.042
2009,Powerplay,4532,62,4263,1.063
2010,Death,5594,82,3362,1.664
2010,Middle,6571,62,6363,1.033
2010,Powerplay,4582,53,4285,1.069
2011,Death,5116,81,3307,1.547
2011,Middle,6495,74,6374,1.019
2011,Powerplay,4668,71,4297,1.086
2012,Death,5496,62,3366,1.633
2012,Middle,6663,89,6385,1.044
2012,Powerplay,4542,69,4278,1.062
2013,Death,5277,66,3325,1.587
2013,Middle,6701,74,6357,1.054
2013,Powerplay,4494,72,4294,1.047
2014,Death,5253,64,3300,1.592
2014,Middle,6539,84,6361,1.028
2014,Powerplay,4442,69,4256,1.044
2015,Death,5167,76,3223,1.603
2015,Middle,6513,65,6384,1.02
2015,Powerplay,4482,66,4285,1.046
2016,Death,5373,68,3326,1.615
2016,Middle,6518,81,6357,1.025
2016,Powerplay,4584,75,4280,1.071
2017,Death,5229,64,3258,1.605
2017,Middle,6576,67,6355,1.035
2017,Powerplay,4627,58,4278,1.082
2018,Death,5449,68,3377,1.614
2018,Middle,6489,93,6380,1.017
2018,Powerplay,4637,66,4270,1.086
2019,Death,5493,69,3417,1.608
2019,Middle,6734,85,6387,1.054
2019,Powerplay,4674,67,4292,1.089
2020,Death,5492,76,3385,1.622
2020,Middle,6699,88,6390,1.048
2020,Powerplay,4489,74,4277,1.05
2021,Death,5354,70,3355,1.596
2021,Middle,6678,86,6388,1.045
2021,Powerplay,4506,58,4299,1.048
2022,Death,5231,72,3274,1.598
2022,Middle,6526,69,6380,1.023
2022,Powerplay,4581,59,4283,1.07
2023,Death,5455,62,3338,1.634
2023,Middle,6761,76,6416,1.054
2023,Powerplay,4468,64,4282,1.043
2024,Death,5519,66,3358,1.644
2024,Middle,6589,70,6390,1.031
2024,Powerplay,4535,70,4317,1.05
2025,Death,5463,73,3342,1.635
2025,Middle,6576,84,6391,1.029
2025,Powerplay,4521,59,4299,1.052
