season,total_runs,total_wickets,deliveries,matches,runs_per_match
2008,16422,206,14002,58,283.14
2009,16606,186,14006,58,286.31
2010,16747,197,14010,58,288.74
2011,16279,226,13978,58,280.67
2012,16701,220,14029,58,287.95
2013,16472,212,13976,58,284.0
2014,16234,217,13917,58,279.9
2015,16162,207,13892,58,278.66
2016,16475,224,13963,58,284.05
2017,16432,189,13891,58,283.31
2018,16575,227,14027,58,285.78
2019,16901,221,14096,58,291.4
2020,16680,238,14052,58,287.59
2021,16538,214,14042,58,285.14
2022,16338,200,13937,58,281.69
2023,16684,202,14036,58,287.66
2024,16643,206,14065,58,286.95
2025,16560,216,14032,58,285.52
