season,batting_team,runs_scored,wickets_lost,deliveries,matches,runs_per_match
2021,Sunrisers Hyderabad,2588,42,2207,18,143.78
2021,Delhi Capitals,2412,28,2047,17,141.88
2021,Chennai Super Kings,2248,26,1953,16,140.5
2021,Kolkata Knight Riders,2221,34,1929,16,138.81
2021,Rajasthan Royals,2160,23,1810,15,144.0
2022,Sunrisers Hyderabad,2338,26,2040,17,137.53
2022,Punjab Kings,2168,32,1801,15,144.53
2022,Lucknow Super Giants,2135,25,1807,15,142.33
2022,Rajasthan Royals,1859,20,1563,13,143.0
2022,Mumbai Indians,1592,16,1323,11,144.73
2023,Delhi Capitals,2424,28,2061,17,142.59
2023,Gujarat Titans,2407,29,1909,16,150.44
2023,Rajasthan Royals,2080,30,1824,15,138.67
2023,Kolkata Knight Riders,1943,16,1579,13,149.46
2023,Punjab Kings,1796,33,1578,13,138.15
2024,Kolkata Knight Riders,2222,32,1918,16,138.88
2024,Rajasthan Royals,2210,37,1812,15,147.33
2024,Royal Challengers Bengaluru,2143,18,1710,14,153.07
2024,Mumbai Indians,1970,21,1709,14,140.71
2024,Sunrisers Hyderabad,1952,30,1698,14,139.43
2025,Gujarat Titans,2347,28,1938,16,146.69
2025,Chennai Super Kings,2169,32,1804,15,144.6
2025,Royal Challengers Bengaluru,2095,30,1833,15,139.67
2025,Sunrisers Hyderabad,2033,25,1710,14,145.21
2025,Rajasthan Royals,1736,18,1470,12,144.67
