season,toss_decision,toss_result,matches
2008,bat,Lost,10
2008,bat,Won,19
2008,field,Lost,14
2008,field,Won,15
2009,bat,Lost,18
2009,bat,Won,16
2009,field,Lost,15
2009,field,Won,9
2010,bat,Lost,17
2010,bat,Won,15
2010,field,Lost,15
2010,field,Won,11
2011,bat,Lost,18
2011,bat,Won,12
2011,field,Lost,17
2011,field,Won,11
2012,bat,Lost,18
2012,bat,Won,16
2012,field,Lost,16
2012,field,Won,8
2013,bat,Lost,10
2013,bat,Won,18
2013,field,Lost,15
2013,field,Won,15
2014,bat,Lost,16
2014,bat,Won,19
2014,field,Lost,8
2014,field,Won,15
2015,bat,Lost,20
2015,bat,Won,15
2015,field,Lost,16
2015,field,Won,7
2016,bat,Lost,18
2016,bat,Won,11
2016,field,Lost,16
2016,field,Won,13
2017,bat,Lost,14
2017,bat,Won,13
2017,field,Lost,13
2017,field,Won,18
2018,bat,Lost,15
2018,bat,Won,15
2018,field,Lost,16
2018,field,Won,12
2019,bat,Lost,12
2019,bat,Won,17
2019,field,Lost,20
2019,field,Won,9
2020,bat,Lost,14
2020,bat,Won,14
2020,field,Lost,14
2020,field,Won,16
2021,bat,Lost,14
2021,bat,Won,12
2021,field,Lost,16
2021,field,Won,16
2022,bat,Lost,16
2022,bat,Won,15
2022,field,Lost,13
2022,field,Won,14
2023,bat,Lost,15
2023,bat,Won,14
2023,field,Lost,15
2023,field,Won,14
2024,bat,Lost,15
2024,bat,Won,13
2024,field,Lost,11
2024,field,Won,19
2025,bat,Lost,13
2025,bat,Won,15
2025,field,Lost,11
2025,field,Won,19
