venue,matches,runs,wickets,deliveries,avg_runs_per_delivery
BRSABV Ekana Cricket Stadium,103,29600,372,24909,1.188
Punjab Cricket Association IS Bindra Stadium,96,27674,373,23126,1.197
M. A. Chidambaram Stadium,95,27361,332,22992,1.19
Himachal Pradesh Cricket Association Stadium,96,26974,364,23136,1.166
Eden Gardens,92,26269,323,22132,1.187
Sawai Mansingh Stadium,91,25530,358,21910,1.165
Rajiv Gandhi International Cricket Stadium,88,25073,301,21207,1.182
Arun Jaitley Stadium,84,23780,295,20311,1.171
Narendra Modi Stadium,78,22369,292,18869,1.185
M. Chinnaswamy Stadium,74,21225,272,17832,1.19
Wankhede Stadium,75,21189,245,18074,1.172
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,72,20405,281,17453,1.169
